h5_index,design_id,human_rating_modernity,ai_rating_modernity
1309,1309,,3.859802898950875
1311,1311,,3.570677949814126
1316,1316,,3.5949700591154397
1317,1317,3.142857142857143,3.3548999466001987
1319,1319,,3.3618691489100456
1320,1320,3.636363636363636,3.5679465839639306
1328,1328,,3.592438971158117
1329,1329,,3.218024903908372
1334,1334,2.8,3.2403890429995954
1335,1335,2.3,3.352628062479198
1336,1336,,3.296789268963039
1341,1341,,3.409204812720418
1343,1343,,3.2599908132106066
1345,1345,,3.247103366535157
1347,1347,,3.407712887506932
1350,1350,2.75,3.343535521067679
1352,1352,3.125,3.323008834850043
1354,1354,,3.203873754478991
1355,1355,,3.4587036538869143
1356,1356,,3.3384083043783903
1362,1362,,3.3799224346876144
1365,1365,3.555555555555556,3.4372957055456936
1370,1370,,3.3480196250602603
1372,1372,,3.410751307848841
1374,1374,3.111111111111111,3.5267023625783622
1377,1377,,3.2517435839399695
1378,1378,,3.583440713584423
1379,1379,,3.4323924742639065
1380,1380,,3.6181625751778483
1382,1382,,3.345821005757898
1386,1386,3.0,3.2707195547409356
1391,1391,,3.5329269194044173
